PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38837997","The effects of nonpharmacological sleep hygiene on sleep quality in nonelderly individuals: A systematic review and network meta-analysis of randomized controlled trials","Hirohama K, Imura T, Hori T, Deguchi N, Mitsutake T, Tanaka R.","PLoS One. 2024 Jun 5;19(6):e0301616. doi: 10.1371/journal.pone.0301616. eCollection 2024.","Hirohama K","PLoS One","2024","2024/06/05","PMC11152306","","10.1371/journal.pone.0301616"
"38835267","Network meta-analysis of four common immunomodulatory therapies for the treatment of patients with thin endometrium","Li L, Kou Z, Zhao F, Wang Y, Zhang X.","Gynecol Endocrinol. 2024 Dec;40(1):2360072. doi: 10.1080/09513590.2024.2360072. Epub 2024 Jun 5.","Li L","Gynecol Endocrinol","2024","2024/06/05","","","10.1080/09513590.2024.2360072"
"38834328","Non-pharmaceutical interventions for depressive symptoms in patients with breast cancer: protocol for a systematic review and network meta-analysis","Yin P, Liu L, Gao N, Huai Y, Dong Y, Jin Q, Chen YL.","BMJ Open. 2024 Jun 4;14(6):e081281. doi: 10.1136/bmjopen-2023-081281.","Yin P","BMJ Open","2024","2024/06/04","PMC11163656","","10.1136/bmjopen-2023-081281"
"38834107","Early use of oral antiviral drugs and the risk of post COVID-19 syndrome: A systematic review and network meta-analysis","Jiang J, Li Y, Jiang Q, Jiang Y, Qin H, Li Y.","J Infect. 2024 Aug;89(2):106190. doi: 10.1016/j.jinf.2024.106190. Epub 2024 Jun 2.","Jiang J","J Infect","2024","2024/06/04","","","10.1016/j.jinf.2024.106190"
"38833938","Comparative analysis of psychiatric medications and their association with falls and fractures: A systematic review and network meta-analysis","Guo M, Tao S, Xiong Y, Dong M, Yan Z, Ye Z, Wu D.","Psychiatry Res. 2024 Aug;338:115974. doi: 10.1016/j.psychres.2024.115974. Epub 2024 May 28.","Guo M","Psychiatry Res","2024","2024/06/04","","","10.1016/j.psychres.2024.115974"
"38833249","Treatment of Locally Advanced Rectal Cancer in the Era of Total Neoadjuvant Therapy: A Systematic Review and Network Meta-Analysis","Turri G, Ostuzzi G, Vita G, Barresi V, Scarpa A, Milella M, Mazzarotto R, Ruzzenente A, Barbui C, Pedrazzani C.","JAMA Netw Open. 2024 Jun 3;7(6):e2414702. doi: 10.1001/jamanetworkopen.2024.14702.","Turri G","JAMA Netw Open","2024","2024/06/04","PMC11151159","","10.1001/jamanetworkopen.2024.14702"
"38832475","Lipid profile changes induced by glucagon-like peptide-1 receptor agonists in patients with type 2 diabetes: a systematic review and network meta-analysis","Chae Y, Kwon SH, Nam JH, Kang E, Im J, Kim HJ, Lee EK.","Expert Rev Clin Pharmacol. 2024 Aug;17(8):721-729. doi: 10.1080/17512433.2024.2363838. Epub 2024 Jun 6.","Chae Y","Expert Rev Clin Pharmacol","2024","2024/06/04","","","10.1080/17512433.2024.2363838"
"38831512","The Diagnostic Accuracy of SPECT Imaging in Patients With Suspected Pulmonary Embolism: Systematic Review and Network Meta-analysis","Bang JI, Lee WW, Cho SG, Choi M, Song YS.","Clin Nucl Med. 2024 Jul 1;49(7):637-643. doi: 10.1097/RLU.0000000000005167.","Bang JI","Clin Nucl Med","2024","2024/06/04","","","10.1097/RLU.0000000000005167"
"38829940","Clinical effects of chemical drugs, fecal microbiota transplantation, probiotics, dietary fiber, and acupuncture in the treatment of chronic functional constipation: a systematic review and network meta-analysis","Tan S, Zhang W, Zeng P, Yang Y, Chen S, Li Y, Bian Y, Xu C.","Eur J Gastroenterol Hepatol. 2024 Jul 1;36(7):815-830. doi: 10.1097/MEG.0000000000002786. Epub 2024 May 2.","Tan S","Eur J Gastroenterol Hepatol","2024","2024/06/03","","","10.1097/MEG.0000000000002786"
"38828867","External electrical and pharmacological cardioversion for atrial fibrillation, atrial flutter or atrial tachycardias: a network meta-analysis","Kukendrarajah K, Ahmad M, Carrington M, Ioannou A, Taylor J, Razvi Y, Papageorgiou N, Mead GE, Nevis IF, D'Ascenzo F, Wilton SB, Lambiase PD, Morillo CA, Kwong JS, Providencia R.","Cochrane Database Syst Rev. 2024 Jun 3;6(6):CD013255. doi: 10.1002/14651858.CD013255.pub2.","Kukendrarajah K","Cochrane Database Syst Rev","2024","2024/06/03","PMC11145740","","10.1002/14651858.CD013255.pub2"
"38828426","Efficacy of daprodustat for patients on dialysis with anemia: systematic review and network meta-analysis","Ali Fadlalmola H, Al-Sayaghi KM, Al-Hebshi AA, Alhujaily M, Alyamani AO, Alem AA, Syrafi MH, Alem S, Farhat AH, Mohamed FA, Abdalrahman HH, Abdelmalik MA, Abdalrhman NM, Eltayeb AM.","Pan Afr Med J. 2024 Mar 8;47:114. doi: 10.11604/pamj.2024.47.114.37278. eCollection 2024.","Ali Fadlalmola H","Pan Afr Med J","2024","2024/06/03","PMC11143073","","10.11604/pamj.2024.47.114.37278"
"38824515","Effective dosage and mode of exercise for enhancing cognitive function in Alzheimer's disease and dementia: a systematic review and Bayesian Model-Based Network Meta-analysis of RCTs","Yuan Y, Yang Y, Hu X, Zhang L, Xiong Z, Bai Y, Zeng J, Xu F.","BMC Geriatr. 2024 Jun 1;24(1):480. doi: 10.1186/s12877-024-05060-8.","Yuan Y","BMC Geriatr","2024","2024/06/02","PMC11143595","","10.1186/s12877-024-05060-8"
"38823453","Empiric antibiotic regimens in adults with non-ventilator-associated hospital-acquired pneumonia: a systematic review and network meta-analysis of randomized controlled trials","Ghadimi M, Siemieniuk RAC, Guyatt G, Loeb M, Hazzan AA, Aminaei D, Gomaa H, Wang Y, Yao L, Agarwal A, Basmaji J, Grant A, Kim WSH, Alvarado-Gamarra G, Likhvantsev V, Lima JP, Motaghi S, Couban R, Sadeghirad B, Brignardello-Petersen R.","Clin Microbiol Infect. 2024 Nov;30(11):1351-1363. doi: 10.1016/j.cmi.2024.05.017. Epub 2024 May 30.","Ghadimi M","Clin Microbiol Infect","2024","2024/06/01","","","10.1016/j.cmi.2024.05.017"
"38823173","Induction chemotherapy regimes in first-line treatment for locoregionally advanced nasopharyngeal carcinoma: A network meta-analysis and cost-effectiveness analysis","Xu W, Qiu L, Li F, Fei Y, Wei Q, Shi K, Zhu Y, Luo J, Wu M, Yuan J, Liu H, Mao J, Cao Y, Zhou S, Guan X.","Oral Oncol. 2024 Jul;154:106865. doi: 10.1016/j.oraloncology.2024.106865. Epub 2024 May 31.","Xu W","Oral Oncol","2024","2024/06/01","","","10.1016/j.oraloncology.2024.106865"
"38822892","Comparison for the diagnostic performance of early diagnostic methods for biliary atresia: a systematic review and network meta-analysis","Zhang Y, Li T, Wang T, Ji Q, Zhan J.","Pediatr Surg Int. 2024 Jun 1;40(1):146. doi: 10.1007/s00383-024-05730-z.","Zhang Y","Pediatr Surg Int","2024","2024/06/01","","","10.1007/s00383-024-05730-z"
"38822368","Effectiveness of zygomatic-implant fixed rehabilitation for the atrophic edentulous maxilla: protocol for a systematic review and network meta-analysis","Rodrigues A, Abi-Nader S, Durand R, Rompré P, Janati AI, Atsu S, Morris M, Emami E.","Syst Rev. 2024 May 31;13(1):146. doi: 10.1186/s13643-024-02561-w.","Rodrigues A","Syst Rev","2024","2024/06/01","PMC11140941","","10.1186/s13643-024-02561-w"
"38820425","Comparing Energy-Based Devices for Striae Improvement: A Systematic Review and Network Meta-Analysis of Randomized Controlled Trials","Wu TJ, Huang YL, Kang YN, Chen KH, Chen C.","Dermatol Surg. 2024 Oct 1;50(10):931-938. doi: 10.1097/DSS.0000000000004252. Epub 2024 May 31.","Wu TJ","Dermatol Surg","2024","2024/05/31","","","10.1097/DSS.0000000000004252"
"38820259","Effects of different geriatric nursing teaching methods on nursing students' knowledge and attitude: Systematic review and network meta-analysis","Cheng Y, Sun S, Hu Y, Wang J, Chen W, Miao Y, Wang H.","PLoS One. 2024 May 31;19(5):e0300618. doi: 10.1371/journal.pone.0300618. eCollection 2024.","Cheng Y","PLoS One","2024","2024/05/31","PMC11142439","","10.1371/journal.pone.0300618"
"38820258","Comparative Effectiveness of Sotatercept and Approved Add-On Pulmonary Arterial Hypertension Therapies: A Systematic Review and Network Meta-Analysis","Pitre T, Desai K, Mah J, Zeraatkar D, Humbert M.","Ann Am Thorac Soc. 2024 Aug;21(8):1194-1203. doi: 10.1513/AnnalsATS.202311-942OC.","Pitre T","Ann Am Thorac Soc","2024","2024/05/31","","","10.1513/AnnalsATS.202311-942OC"
"38816870","Comparison of allo-SCT, auto-SCT and chemotherapy for the treatment of patients with low- or intermediate-risk acute myeloid leukemia: a network meta-analysis","Ye W, Wu X, Zhao R, Jin X, Li H, Qu Y, Ji J, Liu Z.","Stem Cell Res Ther. 2024 May 31;15(1):153. doi: 10.1186/s13287-024-03766-5.","Ye W","Stem Cell Res Ther","2024","2024/05/30","PMC11141018","","10.1186/s13287-024-03766-5"
"38814916","The efficacy of Topical Clascoterone versus systematic spironolactone for treatment of acne vulgaris: A systematic review and network meta-analysis","Basendwh MA, Alharbi AA, Bukhamsin SA, Abdulwahab RA, Alaboud SA.","PLoS One. 2024 May 30;19(5):e0298155. doi: 10.1371/journal.pone.0298155. eCollection 2024.","Basendwh MA","PLoS One","2024","2024/05/30","PMC11139337","","10.1371/journal.pone.0298155"
"38814406","Interventions to Improve Adherence to Oral Pre-exposure Prophylaxis: A Systematic Review and Network Meta-analysis","Garcia C, Rehman N, Matos-Silva J, Deng J, Ghandour S, Huang Z, Mbuagbaw L.","AIDS Behav. 2024 Aug;28(8):2534-2546. doi: 10.1007/s10461-024-04365-4. Epub 2024 May 30.","Garcia C","AIDS Behav","2024","2024/05/30","","","10.1007/s10461-024-04365-4"
"38813682","Efficacy and safety of simple analgesics for acute treatment of episodic tension-type headache in adults: a network meta-analysis","Xie R, Li J, Jing Y, Tian J, Li H, Cai Y, Wang Y, Chen W, Xu F.","Ann Med. 2024 Dec;56(1):2357235. doi: 10.1080/07853890.2024.2357235. Epub 2024 May 30.","Xie R","Ann Med","2024","2024/05/30","PMC11141314","","10.1080/07853890.2024.2357235"
"38811891","Immune checkpoint inhibitors as the second-line treatment for advanced esophageal squamous cell carcinoma: a cost-effectiveness analysis based on network meta-analysis","Yang X, Zheng X, Hu S, Huang J, Zhang M, Huang P, Wang J.","BMC Cancer. 2024 May 29;24(1):654. doi: 10.1186/s12885-024-12423-2.","Yang X","BMC Cancer","2024","2024/05/29","PMC11134960","","10.1186/s12885-024-12423-2"
"38811388","Risk of adjacent level fracture after percutaneous vertebroplasty and kyphoplasty vs natural history for the management of osteoporotic vertebral compression fractures: a network meta-analysis of randomized controlled trials","Essibayi MA, Mortezaei A, Azzam AY, Bangash AH, Eraghi MM, Fluss R, Brook A, Altschul DJ, Yassari R, Chandra RV, Cancelliere NM, Pereira VM, Jennings JW, Gilligan CJ, Bono CM, Hirsch JA, Dmytriw AA.","Eur Radiol. 2024 Nov;34(11):7185-7196. doi: 10.1007/s00330-024-10807-3. Epub 2024 May 29.","Essibayi MA","Eur Radiol","2024","2024/05/29","","","10.1007/s00330-024-10807-3"
"38811273","Arthroscopic modified Broström may improve function while anatomic reconstructions could enhance stability for chronic lateral ankle instability: A network meta-analysis","Tsai CS, Huang MT, Jou IM, Wu PT, Ko PY.","Foot Ankle Surg. 2024 Dec;30(8):630-642. doi: 10.1016/j.fas.2024.05.008. Epub 2024 May 26.","Tsai CS","Foot Ankle Surg","2024","2024/05/29","","","10.1016/j.fas.2024.05.008"
"38809372","Sex-Based Outcomes of Dual-Antiplatelet Therapy After Percutaneous Coronary Intervention: A Pairwise and Network Meta-Analysis","Agbaedeng TA, Noubiap JJ, Roberts KA, Chew DP, Psaltis PJ, Amare AT.","Drugs. 2024 Jun;84(6):685-701. doi: 10.1007/s40265-024-02034-3. Epub 2024 May 29.","Agbaedeng TA","Drugs","2024","2024/05/29","","","10.1007/s40265-024-02034-3"
"38808848","Trastuzumab-emtansine versus other anti-HER2 regimens in early or unresectable or metastatic HER-2 positive breast cancer: systematic review and network meta-analysis","Ciapponi A, Bardach A, Colaci C, Rodríguez Cairoli F, Argento F, Korbenfeld E, García Martí S.","Rev Peru Med Exp Salud Publica. 2024 May 27;41(1):7-18. doi: 10.17843/rpmesp.2024.411.13351.","Ciapponi A","Rev Peru Med Exp Salud Publica","2024","2024/05/29","PMC11152244","","10.17843/rpmesp.2024.411.13351"
"38807350","Not first-line antihypertensive agents, but still effective-The efficacy and safety of imidazoline receptor agonists: A network meta-analysis","Érszegi A, Viola R, Bahar MA, Tóth B, Fejes I, Vágvölgyi A, Csupor D.","Pharmacol Res Perspect. 2024 Jun;12(3):e1215. doi: 10.1002/prp2.1215.","Érszegi A","Pharmacol Res Perspect","2024","2024/05/29","PMC11133783","","10.1002/prp2.1215"
"38806862","Efficacy and acceptability of different probiotic products plus laxatives for pediatric functional constipation: a network meta-analysis of randomized controlled trials","Yang WC, Zeng BS, Liang CS, Hsu CW, Su KP, Wu YC, Tu YK, Lin PY, Stubbs B, Chen TY, Chen YW, Shiue YL, Zeng BY, Suen MW, Hung CM, Wu MK, Tseng PT.","Eur J Pediatr. 2024 Aug;183(8):3531-3541. doi: 10.1007/s00431-024-05568-6. Epub 2024 May 29.","Yang WC","Eur J Pediatr","2024","2024/05/28","PMC11263257","","10.1007/s00431-024-05568-6"
"38806429","First and second-generation endometrial ablation devices: A network meta-analysis","Marchand GJ, Masoud A, Grover S, King A, Brazil G, Ulibarri H, Parise J, Arroyo A, Coriell C, Moir C, Govindan M.","BMJ Open. 2024 May 28;14(5):e065966. doi: 10.1136/bmjopen-2022-065966.","Marchand GJ","BMJ Open","2024","2024/05/28","PMC11138282","","10.1136/bmjopen-2022-065966"
"38804215","Systematic review and network meta-analysis of agomelatine for the treatment of generalized anxiety disorder in adult patients","Hood SD, Odufowora-Sita O, Briere JB, Lucchino M, Khrouf F, Olewinska E, Pierzchala P, Mezghani M, Nikodem M, Lévy P.","Int Clin Psychopharmacol. 2025 Mar 1;40(2):62-74. doi: 10.1097/YIC.0000000000000551. Epub 2024 May 20.","Hood SD","Int Clin Psychopharmacol","2025","2024/05/28","PMC11781552","","10.1097/YIC.0000000000000551"
"38802439","Evaluating the impact of exercise on intermediate disease markers in overweight and obese individuals through a network meta-analysis of randomized controlled trials","Liu Y, Wang X, Fang Z.","Sci Rep. 2024 May 27;14(1):12137. doi: 10.1038/s41598-024-62677-w.","Liu Y","Sci Rep","2024","2024/05/27","PMC11130208","","10.1038/s41598-024-62677-w"
"38796335","Newer Glucose-Lowering Drugs and Risk of Gout: A Network Meta-Analysis of Randomized Outcomes Trials","Wang A, Shi W, Zhang N, Tang H, Feng X.","Clin Ther. 2024 Nov;46(11):851-854. doi: 10.1016/j.clinthera.2024.04.013. Epub 2024 May 24.","Wang A","Clin Ther","2024","2024/05/25","","","10.1016/j.clinthera.2024.04.013"
"38796036","Stroke Risk After Mitral Valve Interventions: A Systematic Review and Network Meta-Analysis","Kazemian S, Bansal K, Kuno T, Gupta T, Goel K, Khera S, Alkhouli M, Kolte D.","Am J Cardiol. 2024 Jul 15;223:109-117. doi: 10.1016/j.amjcard.2024.05.030. Epub 2024 May 23.","Kazemian S","Am J Cardiol","2024","2024/05/25","","","10.1016/j.amjcard.2024.05.030"
"38795662","Letter to the editor: Comment on Wang et al., ""Effects of different interventions on insomnia in adults: Systematic review and network meta-analysis""","Hertenstein E, Spiegelhalder K, Schneider CL, Riemann D, Nissen C.","J Psychiatr Res. 2024 Jul;175:435-436. doi: 10.1016/j.jpsychires.2024.05.036. Epub 2024 May 15.","Hertenstein E","J Psychiatr Res","2024","2024/05/25","","","10.1016/j.jpsychires.2024.05.036"
"38795401","Pharmacotherapy for sleep disturbances in post-traumatic stress disorder (PTSD): A network meta-analysis","Lappas AS, Glarou E, Polyzopoulou ZA, Goss G, Huhn M, Samara MT, Christodoulou NG.","Sleep Med. 2024 Jul;119:467-479. doi: 10.1016/j.sleep.2024.05.032. Epub 2024 May 20.","Lappas AS","Sleep Med","2024","2024/05/25","","","10.1016/j.sleep.2024.05.032"
"38795084","Effects of Three Different Heating Devices on Patients Undergoing Surgery: A Network Meta-Analysis","He HC, Yu BJ, Mai SY, Liu Y, Li MY, Yan XY, Huang XH.","J Perianesth Nurs. 2024 Oct;39(5):839-846. doi: 10.1016/j.jopan.2023.12.019. Epub 2024 May 24.","He HC","J Perianesth Nurs","2024","2024/05/25","","","10.1016/j.jopan.2023.12.019"
"38789000","Comparative effectiveness and safety of six antibiotics in treating MRSA infections: A network meta-analysis","Ju G, Zhang Y, Ye C, Liu Q, Sun H, Zhang Z, Huang X, Jiang Y, Huang Q.","Int J Infect Dis. 2024 Sep;146:107109. doi: 10.1016/j.ijid.2024.107109. Epub 2024 May 22.","Ju G","Int J Infect Dis","2024","2024/05/24","","","10.1016/j.ijid.2024.107109"
"38788246","Non-invasive treatments improve patient outcomes in chronic tinnitus: a systematic review and network meta-analysis","Lu T, Wang Q, Gu Z, Li Z, Yan Z.","Braz J Otorhinolaryngol. 2024 Jul-Aug;90(4):101438. doi: 10.1016/j.bjorl.2024.101438. Epub 2024 May 2.","Lu T","Braz J Otorhinolaryngol","2024","2024/05/24","PMC11143903","","10.1016/j.bjorl.2024.101438"
"38788019","Comparison of target agent treatment strategies for platinum-resistant recurrent ovarian cancer: A Bayesian network meta-analysis","Leung JH, Leung HWC, Wang SY, Yip Fion HT, Chan ALF.","Medicine (Baltimore). 2024 May 24;103(21):e38183. doi: 10.1097/MD.0000000000038183.","Leung JH","Medicine (Baltimore)","2024","2024/05/24","PMC11124750","","10.1097/MD.0000000000038183"
"38787993","Efficacy of different rehabilitation therapies on post-stroke aphasia patients: A network meta-analysis","Han C, Pan J, Du J, Feng L, Ma H, Tang J.","Medicine (Baltimore). 2024 May 24;103(21):e38255. doi: 10.1097/MD.0000000000038255.","Han C","Medicine (Baltimore)","2024","2024/05/24","PMC11124600","","10.1097/MD.0000000000038255"
"38787974","Comparative efficacy of psychological interventions on anxiety and depression in patients with cancer: A systematic review and network meta-analysis","Yang Y, Yi Y, Shi X, Yang X.","Medicine (Baltimore). 2024 May 24;103(21):e38155. doi: 10.1097/MD.0000000000038155.","Yang Y","Medicine (Baltimore)","2024","2024/05/24","PMC11124676","","10.1097/MD.0000000000038155"
"38785256","The effects of psychological interventions on suicide for cancer patients: a systematic review and network meta-analysis","Zhang X, Zhang D, Liu Y, Tian Y, Yu F, Cao Y, Su Y.","Psychol Health Med. 2024 Sep;29(8):1377-1399. doi: 10.1080/13548506.2024.2356026. Epub 2024 May 24.","Zhang X","Psychol Health Med","2024","2024/05/24","","","10.1080/13548506.2024.2356026"
"38785223","The Influence of Erbium Laser Pretreatment on Dentin Shear Bond Strength and Bond Failure Modes: A Systematic Review and Network Meta-Analysis","Wang J, Chen S, Wu Y, Zhang Q, Wu M, Chen Y, Chen L, Hong X, Wang Y, Huang S.","J Adhes Dent. 2024 May 24;26:147-170. doi: 10.3290/j.jad.b5378611.","Wang J","J Adhes Dent","2024","2024/05/24","PMC11748044","","10.3290/j.jad.b5378611"
"38783684","Pulmonary artery denervation versus conventional therapies for PAH: a systematic review and updated network meta-analysis","Wu X, Wang X, Zhang L, Pan Z, Chen F, Chen SL, Kan J, Wei Y.","ESC Heart Fail. 2024 Oct;11(5):2889-2900. doi: 10.1002/ehf2.14842. Epub 2024 May 23.","Wu X","ESC Heart Fail","2024","2024/05/24","PMC11424296","","10.1002/ehf2.14842"
"38782702","Comparative cost-effectiveness of open, laparoscopic, and robotic liver resection: A systematic review and network meta-analysis","Koh YX, Zhao Y, Tan IE, Tan HL, Chua DW, Loh WL, Tan EK, Teo JY, Au MKH, Goh BKP.","Surgery. 2024 Jul;176(1):11-23. doi: 10.1016/j.surg.2024.04.015. Epub 2024 May 22.","Koh YX","Surgery","2024","2024/05/23","","","10.1016/j.surg.2024.04.015"
"38779824","Comparison of stimulation protocols for dose determination of gonadotropins: A systematic review and Bayesian network meta-analysis based on randomized controlled trials","Peng Y, Ma S, Hu L, Li Y, Wang X, Xiong Y, Tan J, Gong F.","Int J Gynaecol Obstet. 2024 Oct;167(1):66-79. doi: 10.1002/ijgo.15602. Epub 2024 May 23.","Peng Y","Int J Gynaecol Obstet","2024","2024/05/23","","","10.1002/ijgo.15602"
"38778153","Indirect assessment of low-intensity shockwave therapy's energy density and pulse frequency for erectile dysfunction: a systematic review, bayesian network meta-analysis and meta-regression","Hinojosa-Gonzalez DE, Talamas Mendoza A, Torres-Martinez M, Diaz-Garza K, Hernandez BS, Muñoz Hibert MI, Ramirez-Mulhern I, Morales Palomino KL, Gonzalez-Oyervides R.","Int J Impot Res. 2025 Apr;37(4):278-287. doi: 10.1038/s41443-024-00910-w. Epub 2024 May 23.","Hinojosa-Gonzalez DE","Int J Impot Res","2025","2024/05/22","","","10.1038/s41443-024-00910-w"
"38777892","Evaluating the economic efficiency of open, laparoscopic, and robotic distal pancreatectomy: an updated systematic review and network meta-analysis","Koh YX, Zhao Y, Tan IE, Tan HL, Chua DW, Loh WL, Tan EK, Teo JY, Au MKH, Goh BKP.","Surg Endosc. 2024 Jun;38(6):3035-3051. doi: 10.1007/s00464-024-10889-6. Epub 2024 May 22.","Koh YX","Surg Endosc","2024","2024/05/22","","","10.1007/s00464-024-10889-6"
"38777133","Effect of Brain-Gut Behavioral Treatments on Abdominal Pain in Irritable Bowel Syndrome: Systematic Review and Network Meta-Analysis","Goodoory VC, Khasawneh M, Thakur ER, Everitt HA, Gudleski GD, Lackner JM, Moss-Morris R, Simren M, Vasant DH, Moayyedi P, Black CJ, Ford AC.","Gastroenterology. 2024 Oct;167(5):934-943.e5. doi: 10.1053/j.gastro.2024.05.010. Epub 2024 May 20.","Goodoory VC","Gastroenterology","2024","2024/05/22","","","10.1053/j.gastro.2024.05.010"
"38776128","Comparative efficacy and safety of the treatment by Omalizumab for chronic idiopathic urticaria in the general population: A systematic review and network meta-analysis","Xu L, Yu H, Xu S, Wang Y, Cao Y.","Skin Res Technol. 2024 May;30(5):e13749. doi: 10.1111/srt.13749.","Xu L","Skin Res Technol","2024","2024/05/22","PMC11110924","","10.1111/srt.13749"
"38775746","Pharmacoeconomic study of anti-influenza virus drugs in Japan based on a network meta-analysis","Nakagawa N, Kanazawa Y, Morikawa A, Lai L.","J Antimicrob Chemother. 2024 Jul 1;79(7):1590-1596. doi: 10.1093/jac/dkae141.","Nakagawa N","J Antimicrob Chemother","2024","2024/05/22","","","10.1093/jac/dkae141"
"38775654","Efficacy and safety of biologic drugs in Still's disease: a systematic review and network meta-analysis of randomized controlled trials","Kilic B, Ozturk A, Karup S, Hacioglu E, Ugurlu S.","Rheumatology (Oxford). 2025 Jan 1;64(1):22-31. doi: 10.1093/rheumatology/keae295.","Kilic B","Rheumatology (Oxford)","2025","2024/05/22","","","10.1093/rheumatology/keae295"
"38773761","A Network Meta-Analysis of the Systemic Therapies in Unresectable Head and Neck Squamous Cell Carcinoma","Yuan J, Shi K, Chen G, Xu W, Qiu L, Fei Y, Zhu Y, Wu M, Li Y, Sun X, Cao Y, Zhou S.","Cancer Control. 2024 Jan-Dec;31:10732748241255535. doi: 10.1177/10732748241255535.","Yuan J","Cancer Control","2024","2024/05/22","PMC11113065","","10.1177/10732748241255535"
"38773302","Physiotherapeutic and non-conventional approaches in patients with chronic low-back pain: a level I Bayesian network meta-analysis","Baroncini A, Maffulli N, Schäfer L, Manocchio N, Bossa M, Foti C, Klimuch A, Migliorini F.","Sci Rep. 2024 May 21;14(1):11546. doi: 10.1038/s41598-024-62276-9.","Baroncini A","Sci Rep","2024","2024/05/21","PMC11109223","","10.1038/s41598-024-62276-9"
"38772943","Effectiveness and Safety of Different Methods of Assisted Fat Grafting: A Network Meta-Analysis","Dong Y, Huang Y, Hou T, Li P.","Aesthetic Plast Surg. 2024 Jul;48(13):2484-2499. doi: 10.1007/s00266-024-04060-8. Epub 2024 May 21.","Dong Y","Aesthetic Plast Surg","2024","2024/05/21","","","10.1007/s00266-024-04060-8"
"38772192","Decadal analysis of efficacy and safety profiles of mesenchymal stem cells from varied sources in knee osteoarthritis patients: A systematic review and network meta-analysis","Tang X, Huang H, Hao L.","Exp Gerontol. 2024 Jul;192:112460. doi: 10.1016/j.exger.2024.112460. Epub 2024 May 20.","Tang X","Exp Gerontol","2024","2024/05/21","","","10.1016/j.exger.2024.112460"
"38772174","Do modic changes affect the fusion rate in spinal interbody fusion surgery? A systematic review and network meta-analysis","Chen R, Zou K, Liu J, Li K, Zhou Y, Huang H, Yang F.","J Clin Neurosci. 2024 Jul;125:110-119. doi: 10.1016/j.jocn.2024.05.019. Epub 2024 May 20.","Chen R","J Clin Neurosci","2024","2024/05/21","","","10.1016/j.jocn.2024.05.019"
"38771493","Regeneration of periodontal intrabony defects using platelet-rich fibrin (PRF): a systematic review and network meta-analysis","Silva FFVE, Chauca-Bajaña L, Caponio VCA, Cueva KAS, Velasquez-Ron B, Padín-Iruegas ME, Almeida LL, Lorenzo-Pouso AI, Suárez-Peñaranda JM, Pérez-Sayáns M.","Odontology. 2024 Oct;112(4):1047-1068. doi: 10.1007/s10266-024-00949-7. Epub 2024 May 21.","Silva FFVE","Odontology","2024","2024/05/21","PMC11415441","","10.1007/s10266-024-00949-7"
"38769048","Comparative efficacy of volume expansion, inotropes and vasopressors in preterm neonates with probable transitional circulatory instability in the first week of life: a systematic review and network meta-analysis","Ramaswamy VV, Kumar G, Abdul Kareem P, Somasekhara Aradhya A, Suryawanshi P, Sahni M, Khurana S, Sharma D, More K; National Neonatal Forum, India; Clinical Practice Guidelines Group 2023.","BMJ Paediatr Open. 2024 May 20;8(1):e002500. doi: 10.1136/bmjpo-2024-002500.","Ramaswamy VV","BMJ Paediatr Open","2024","2024/05/20","PMC11110579","","10.1136/bmjpo-2024-002500"
"38768846","Assessment of Coronary Stenoses for Percutaneous Coronary Intervention: A Systematic Review and Network Meta-Analysis of Randomized Trials","d'Entremont MA, Tiong D, Sadeghirad B, McGrath BP, Cioffi GM, Garni TA, Cheema ZM, Layland J, Revaiah PC, Serruys PW, Stone GW, Jolly SS.","Am J Cardiol. 2024 Jul 15;223:29-39. doi: 10.1016/j.amjcard.2024.05.019. Epub 2024 May 18.","d'Entremont MA","Am J Cardiol","2024","2024/05/20","","","10.1016/j.amjcard.2024.05.019"
"38764191","Hydrosalpinx treatment before in-vitro fertilization: systematic review and network meta-analysis","Pérez-Milán F, Caballero-Campo M, Carrera-Roig M, Moratalla-Bartolomé E, Domínguez-Arroyo JA, Alcázar-Zambrano JL, Alonso-Pacheco L, Carugno JA; Spanish Fertility Society Special Interest Group on Organic Reproductive Disorders.","Ultrasound Obstet Gynecol. 2025 Apr;65(4):414-426. doi: 10.1002/uog.27697. Epub 2025 Jan 26.","Pérez-Milán F","Ultrasound Obstet Gynecol","2025","2024/05/20","PMC11961103","","10.1002/uog.27697"
"38762656","Efficacy of non-pharmacological interventions for individuals with amyotrophic lateral sclerosis: systematic review and network meta-analysis of randomized control trials","Li Z, Kang H.","Sci Rep. 2024 May 18;14(1):11365. doi: 10.1038/s41598-024-62213-w.","Li Z","Sci Rep","2024","2024/05/18","PMC11102473","","10.1038/s41598-024-62213-w"
"38760539","Laser Therapy in Hypertrophic and Keloid Scars: A Systematic Review and Network Meta-analysis","Foppiani JA, Khaity A, Al-Dardery NM, Hasan MT, El-Samahy M, Lee D, Abdelwahab OA, Abd-Alwahed AE, Khitti HM, Albakri K, Lin SJ.","Aesthetic Plast Surg. 2024 Oct;48(19):3988-4006. doi: 10.1007/s00266-024-04027-9. Epub 2024 May 17.","Foppiani JA","Aesthetic Plast Surg","2024","2024/05/17","","","10.1007/s00266-024-04027-9"
